time,ax,ay,az,atotal
2021-09-03 18:45:42.0940,0.34,0.1,0.11,0.37
2021-09-03 18:45:42.1040,0.3,0.22,0.27,0.45
2021-09-03 18:45:42.1200,-0.09,0.09,0.24,0.27
2021-09-03 18:45:42.1240,-0.25,-0.08,-0.11,0.28
2021-09-03 18:45:42.1330,-0.15,-0.01,-0.36,0.39
2021-09-03 18:45:42.1430,-0.13,0.11,-0.35,0.38
2021-09-03 18:45:42.1530,-0.1,0.01,-0.2,0.22
2021-09-03 18:45:42.1630,-0.01,0.01,-0.2,0.2
2021-09-03 18:45:42.1730,0.01,-0.04,-0.31,0.31
2021-09-03 18:45:42.1840,-0.11,-0.13,-0.41,0.44
2021-09-03 18:45:42.1930,-0.15,-0.08,-0.39,0.42
2021-09-03 18:45:42.2040,-0.09,0.06,-0.25,0.27
2021-09-03 18:45:42.2200,-0.14,-0.01,-0.08,0.16
2021-09-03 18:45:42.2240,-0.22,-0.2,0.04,0.3
2021-09-03 18:45:42.2330,-0.11,-0.02,0.03,0.11
2021-09-03 18:45:42.2430,-0.16,0.13,0.11,0.23
2021-09-03 18:45:42.2530,-0.3,-0.09,0.11,0.33
2021-09-03 18:45:42.2630,-0.43,-0.09,0.13,0.45
2021-09-03 18:45:42.2730,-0.65,0.08,0.4,0.76
2021-09-03 18:45:42.2830,-0.69,-0.07,0.55,0.88
2021-09-03 18:45:42.2930,-0.61,-0.15,0.51,0.8
2021-09-03 18:45:42.3030,-0.74,-0.08,0.52,0.9
2021-09-03 18:45:42.3200,-0.97,0.06,0.55,1.11
2021-09-03 18:45:42.3240,-1.05,0.11,0.63,1.22
2021-09-03 18:45:42.3330,-1.05,0.17,0.81,1.33
2021-09-03 18:45:42.3430,-1.13,0.35,1.06,1.58
2021-09-03 18:45:42.3530,-0.68,0.41,0.31,0.85
2021-09-03 18:45:42.3630,1.34,-0.37,-0.69,1.55
2021-09-03 18:45:42.3730,1.56,0.07,-1.61,2.24
2021-09-03 18:45:42.3830,0.67,-0.36,-1.68,1.84
2021-09-03 18:45:42.3940,0.82,-0.2,-1.07,1.36
2021-09-03 18:45:42.4030,0.96,0.05,-0.71,1.19
2021-09-03 18:45:42.4210,0.83,-0.1,-0.46,0.95
2021-09-03 18:45:42.4250,0.67,0.26,-0.12,0.72
2021-09-03 18:45:42.4330,0.4,0.4,-0.01,0.56
2021-09-03 18:45:42.4420,0.19,0.22,0.15,0.32
2021-09-03 18:45:42.4530,0.1,0.34,0.21,0.41
2021-09-03 18:45:42.4620,0.1,0.26,0.09,0.29
2021-09-03 18:45:42.4730,0.13,0.03,-0.06,0.14
2021-09-03 18:45:42.4830,0.24,-0.11,0.0,0.26
2021-09-03 18:45:42.4930,0.29,0.01,0.11,0.31
2021-09-03 18:45:42.5030,0.28,0.18,0.19,0.38
2021-09-03 18:45:42.5190,0.32,0.12,0.28,0.44
2021-09-03 18:45:42.5230,0.47,-0.01,0.17,0.49
2021-09-03 18:45:42.5320,0.71,0.1,0.1,0.72
2021-09-03 18:45:42.5420,0.72,0.21,0.3,0.8
2021-09-03 18:45:42.5520,0.45,0.1,0.58,0.74
2021-09-03 18:45:42.5620,0.21,0.2,0.58,0.64
2021-09-03 18:45:42.5720,-0.13,0.24,0.39,0.47
2021-09-03 18:45:42.5830,-0.56,-0.07,0.26,0.62
2021-09-03 18:45:42.5920,-0.69,-0.01,0.09,0.69
2021-09-03 18:45:42.6030,-0.65,0.15,0.05,0.66
2021-09-03 18:45:42.6190,-0.54,-0.01,-0.21,0.57
2021-09-03 18:45:42.6230,-0.35,-0.12,-0.37,0.52
2021-09-03 18:45:42.6320,-0.15,-0.13,-0.43,0.47
2021-09-03 18:45:42.6420,-0.29,-0.2,-0.54,0.64
2021-09-03 18:45:42.6520,-0.46,-0.26,-0.67,0.85
2021-09-03 18:45:42.6620,-0.25,-0.17,-0.59,0.66
2021-09-03 18:45:42.6720,-0.19,-0.11,-0.39,0.44
2021-09-03 18:45:42.6820,-0.14,-0.02,-0.4,0.42
2021-09-03 18:45:42.6920,0.01,-0.08,-0.6,0.6
2021-09-03 18:45:42.7020,0.04,-0.25,-0.73,0.77
2021-09-03 18:45:42.7170,-0.35,-0.23,-0.72,0.83
2021-09-03 18:45:42.7220,-0.43,-0.15,-0.69,0.82
2021-09-03 18:45:42.7320,0.03,0.04,-0.64,0.64
2021-09-03 18:45:42.7420,0.12,-0.05,-0.44,0.45
2021-09-03 18:45:42.7520,-0.1,-0.28,-0.18,0.34
2021-09-03 18:45:42.7620,-0.18,-0.31,-0.3,0.46
2021-09-03 18:45:42.7720,0.15,-0.26,-0.46,0.54
2021-09-03 18:45:42.7820,0.14,0.04,-0.16,0.21
2021-09-03 18:45:42.7920,-0.48,-0.02,0.03,0.48
2021-09-03 18:45:42.8020,-0.76,-0.1,0.05,0.76
2021-09-03 18:45:42.8200,-0.43,-0.03,0.01,0.43
2021-09-03 18:45:42.8240,-0.03,0.08,-0.06,0.1
2021-09-03 18:45:42.8310,0.13,0.09,-0.17,0.23
2021-09-03 18:45:42.8410,0.15,0.07,-0.3,0.34
2021-09-03 18:45:42.8510,-0.15,-0.03,-0.49,0.51
2021-09-03 18:45:42.8610,-0.37,-0.05,-0.46,0.59
2021-09-03 18:45:42.8710,-0.17,0.08,-0.35,0.39
2021-09-03 18:45:42.8810,-0.12,0.01,-0.24,0.26
2021-09-03 18:45:42.8920,-0.06,-0.06,-0.14,0.16
2021-09-03 18:45:42.9020,-0.15,-0.08,0.08,0.18
2021-09-03 18:45:42.9180,-0.23,-0.02,0.12,0.26
2021-09-03 18:45:42.9220,0.03,0.32,0.22,0.38
2021-09-03 18:45:42.9310,0.05,0.18,0.39,0.43
2021-09-03 18:45:42.9410,-0.03,-0.18,0.49,0.52
2021-09-03 18:45:42.9510,-0.15,0.01,0.44,0.46
2021-09-03 18:45:42.9610,-0.22,0.0,0.39,0.44
2021-09-03 18:45:42.9710,-0.12,0.18,0.42,0.47
2021-09-03 18:45:42.9810,0.16,0.11,0.5,0.53
2021-09-03 18:45:42.9910,0.15,-0.42,0.52,0.68
2021-09-03 18:45:43.0010,0.1,-0.32,0.66,0.74
2021-09-03 18:45:43.0200,-0.12,-0.19,0.59,0.63
2021-09-03 18:45:43.0230,0.23,-0.12,0.1,0.27
2021-09-03 18:45:43.0310,0.93,0.13,-0.04,0.93
2021-09-03 18:45:43.0410,0.26,-0.1,0.15,0.31
2021-09-03 18:45:43.0510,-0.38,-0.23,0.36,0.57
2021-09-03 18:45:43.0610,-0.15,-0.06,0.4,0.43
2021-09-03 18:45:43.0700,0.18,-0.07,0.35,0.39
2021-09-03 18:45:43.0800,0.4,-0.15,0.37,0.56
2021-09-03 18:45:43.0900,0.16,-0.13,0.33,0.38
2021-09-03 18:45:43.1000,-0.3,0.02,0.22,0.37
2021-09-03 18:45:43.1170,-0.21,0.31,0.08,0.38
2021-09-03 18:45:43.1210,0.28,0.45,0.01,0.53
2021-09-03 18:45:43.1300,0.47,0.3,0.01,0.55
2021-09-03 18:45:43.1410,0.17,0.38,0.03,0.41
2021-09-03 18:45:43.1500,-0.29,0.61,0.03,0.67
